Molecule ChEMBL ID,Assay ChEMBL ID,Activity Type,Value,Units,Standard Type,Standard Value,Standard Units,SMILES
CHEMBL76979,CHEMBL674643,,264.0,uM,IC50,264000.0,nM,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O
CHEMBL76979,CHEMBL675636,,700.0,uM,Ki,700000.0,nM,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O
CHEMBL76589,CHEMBL674643,,0.125,uM,IC50,125.0,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1
CHEMBL76589,CHEMBL675637,,,uM,Ki,,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1
CHEMBL77724,CHEMBL674643,,1250.0,uM,IC50,1250000.0,nM,COc1cc(C=C(C#N)C#N)cc(OC)c1
CHEMBL77724,CHEMBL675636,,400.0,uM,Ki,400000.0,nM,COc1cc(C=C(C#N)C#N)cc(OC)c1
CHEMBL420385,CHEMBL674643,,625.0,uM,IC50,625000.0,nM,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1
CHEMBL420385,CHEMBL675636,,250.0,uM,Ki,250000.0,nM,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1
CHEMBL76904,CHEMBL674643,,35.0,uM,IC50,35000.0,nM,N#CC(C#N)=Cc1ccc(O)c(O)c1
CHEMBL76904,CHEMBL675636,,11.0,uM,Ki,11000.0,nM,N#CC(C#N)=Cc1ccc(O)c(O)c1
CHEMBL1009,CHEMBL674643,,900.0,uM,IC50,900000.0,nM,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL1009,CHEMBL676063,,,uM,Ki,,nM,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL304271,CHEMBL674637,,0.00045,uM,IC50,0.45,nM,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL296407,CHEMBL674643,,10.0,uM,IC50,10000.0,nM,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O
CHEMBL296407,CHEMBL675636,,3.5,uM,Ki,3500.0,nM,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O
CHEMBL309625,CHEMBL674643,,60.0,uM,IC50,60000.0,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1
CHEMBL77825,CHEMBL674643,,600.0,uM,IC50,600000.0,nM,COc1ccc(NN=C(C#N)C#N)cc1
CHEMBL77825,CHEMBL675637,,,uM,Ki,,nM,COc1ccc(NN=C(C#N)C#N)cc1
CHEMBL421877,CHEMBL674643,,850.0,uM,IC50,850000.0,nM,COc1cc(C=C(C#N)C#N)cc(OC)c1O
CHEMBL421877,CHEMBL675636,,300.0,uM,Ki,300000.0,nM,COc1cc(C=C(C#N)C#N)cc(OC)c1O
CHEMBL77278,CHEMBL675636,,1350.0,uM,Ki,1350000.0,nM,Cc1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL310798,CHEMBL674643,,3.0,uM,IC50,3000.0,nM,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
CHEMBL310798,CHEMBL675636,,1.0,uM,Ki,1000.0,nM,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
CHEMBL135592,CHEMBL677833,,8.0,uM,IC50,8000.0,nM,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1
CHEMBL309866,CHEMBL674643,,1300.0,uM,IC50,1300000.0,nM,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O
CHEMBL77381,CHEMBL674643,,1360.0,uM,IC50,1360000.0,nM,N#C/C(=C/c1ccc[nH]1)C(=O)O
CHEMBL77381,CHEMBL675640,,,uM,Ki,,nM,N#C/C(=C/c1ccc[nH]1)C(=O)O
CHEMBL76602,CHEMBL674643,,165.0,uM,IC50,165000.0,nM,N#C/C(=C\c1ccc(O)cc1)C(=O)O
CHEMBL76602,CHEMBL675636,,308.0,uM,Ki,308000.0,nM,N#C/C(=C\c1ccc(O)cc1)C(=O)O
CHEMBL77737,CHEMBL674643,,250.0,uM,IC50,250000.0,nM,N#CC(C#N)=Cc1ccncc1
CHEMBL77737,CHEMBL675639,,,uM,Ki,,nM,N#CC(C#N)=Cc1ccncc1
CHEMBL76983,CHEMBL674643,,1250.0,uM,IC50,1250000.0,nM,N#CC(C#N)=Cc1ccc(F)cc1
CHEMBL76983,CHEMBL675636,,400.0,uM,Ki,400000.0,nM,N#CC(C#N)=Cc1ccc(F)cc1
CHEMBL308134,CHEMBL674643,,125.0,uM,IC50,125000.0,nM,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1
CHEMBL308134,CHEMBL675636,,49.0,uM,Ki,49000.0,nM,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1
CHEMBL136491,CHEMBL677833,,0.014,uM,IC50,14.0,nM,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL77280,CHEMBL674643,,1250.0,uM,IC50,1250000.0,nM,CC(=C(C#N)C#N)c1ccc(N)cc1
CHEMBL42423,CHEMBL674645,,,uM,IC50,,nM,O=[N+]([O-])c1ccc(O)c(O)c1
CHEMBL42423,CHEMBL675638,,,uM,Ki,,nM,O=[N+]([O-])c1ccc(O)c(O)c1
CHEMBL76557,CHEMBL674643,,625.0,uM,IC50,625000.0,nM,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1
CHEMBL76557,CHEMBL675636,,360.0,uM,Ki,360000.0,nM,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1
CHEMBL336113,CHEMBL677833,,1.0,uM,IC50,1000.0,nM,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1
CHEMBL133024,CHEMBL677833,,0.1,uM,IC50,100.0,nM,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL344652,CHEMBL677833,,13.35,uM,IC50,13350.0,nM,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1
CHEMBL77814,CHEMBL674643,,350.0,uM,IC50,350000.0,nM,N#CC(C#N)=CNc1ccc(O)cc1
CHEMBL47986,CHEMBL674643,,14.0,uM,IC50,14000.0,nM,O=CN/C=C/c1cc(O)ccc1O
CHEMBL441343,CHEMBL674646,,,uM,IC50,,nM,O=C(O)c1ccc(O)cc1
CHEMBL441343,CHEMBL676065,,,uM,Ki,,nM,O=C(O)c1ccc(O)cc1
CHEMBL138125,CHEMBL677833,,0.238,uM,IC50,238.0,nM,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1
CHEMBL137364,CHEMBL677833,,0.064,uM,IC50,64.0,nM,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1
CHEMBL308339,CHEMBL674643,,1400.0,uM,IC50,1400000.0,nM,N#CC(C#N)=C1C(=O)NC(=O)NC1=O
CHEMBL78174,CHEMBL674643,,430.0,uM,IC50,430000.0,nM,N#CC(C#N)=Cc1ccc(C(=O)O)cc1
CHEMBL78174,CHEMBL675636,,143.0,uM,Ki,143000.0,nM,N#CC(C#N)=Cc1ccc(C(=O)O)cc1
CHEMBL302552,CHEMBL674637,,0.022,uM,IC50,22.0,nM,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1
CHEMBL309598,CHEMBL674643,,13.5,uM,IC50,13500.0,nM,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1
CHEMBL309598,CHEMBL675636,,4.5,uM,Ki,4500.0,nM,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1
CHEMBL78302,CHEMBL674643,,250.0,uM,IC50,250000.0,nM,COc1ccc(C=C(C#N)C#N)cc1O
CHEMBL67057,CHEMBL674637,,0.0045,uM,IC50,4.5,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21
CHEMBL67057,CHEMBL621151,,0.1,uM,IC50,100.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21
CHEMBL67057,CHEMBL615490,,,uM,IC50,,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21
CHEMBL332096,CHEMBL677833,,0.508,uM,IC50,508.0,nM,Nc1ccc2ncnc(NCc3ccccc3)c2c1
CHEMBL77387,CHEMBL674643,,450.0,uM,IC50,450000.0,nM,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1
CHEMBL77387,CHEMBL675636,,150.0,uM,Ki,150000.0,nM,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1
CHEMBL432903,CHEMBL674637,,0.2,uM,IC50,200.0,nM,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C
CHEMBL69964,CHEMBL674637,,0.21,uM,IC50,210.0,nM,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1
CHEMBL65848,CHEMBL674637,,1.41,uM,IC50,1410.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21
CHEMBL65848,CHEMBL621151,,5.0,uM,IC50,5000.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21
CHEMBL65848,CHEMBL615325,,4.32,uM,IC50,4320.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21
CHEMBL69129,CHEMBL679675,,,uM,IC50,,nM,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1
CHEMBL78184,CHEMBL674643,,833.0,uM,IC50,833000.0,nM,N#C/C(=C\c1ccc(F)cc1)C(=O)O
CHEMBL78184,CHEMBL675636,,2500.0,uM,Ki,2500000.0,nM,N#C/C(=C\c1ccc(F)cc1)C(=O)O
CHEMBL76985,CHEMBL674643,,47.0,uM,IC50,47000.0,nM,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O
CHEMBL76985,CHEMBL675636,,140.0,uM,Ki,140000.0,nM,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O
CHEMBL145,CHEMBL674643,,1200.0,uM,IC50,1200000.0,nM,O=C(O)/C=C/c1ccc(O)c(O)c1
CHEMBL145,CHEMBL675636,,400.0,uM,Ki,400000.0,nM,O=C(O)/C=C/c1ccc(O)c(O)c1
CHEMBL69629,CHEMBL674637,,0.0065,uM,IC50,6.5,nM,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69629,CHEMBL621151,,0.04,uM,IC50,40.0,nM,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69629,CHEMBL615325,,2.05,uM,IC50,2050.0,nM,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL136492,CHEMBL677833,,8.4,uM,IC50,8400.0,nM,CN(c1ccccc1)c1ncnc2ccc(N)cc12
CHEMBL77197,CHEMBL674643,,1100.0,uM,IC50,1100000.0,nM,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O
CHEMBL77197,CHEMBL675636,,341.0,uM,Ki,341000.0,nM,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O
CHEMBL305695,CHEMBL674643,,560.0,uM,IC50,560000.0,nM,N#CC(C#N)=Cc1ccc(O)cc1
CHEMBL305695,CHEMBL675636,,160.0,uM,Ki,160000.0,nM,N#CC(C#N)=Cc1ccc(O)cc1
CHEMBL68258,CHEMBL674637,,20.0,uM,IC50,20000.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21
CHEMBL76587,CHEMBL674643,,6500.0,uM,IC50,6500000.0,nM,N#CC(C#N)Cc1ccc(O)cc1
CHEMBL76587,CHEMBL675641,,,uM,Ki,,nM,N#CC(C#N)Cc1ccc(O)cc1
CHEMBL77456,CHEMBL674643,,1250.0,uM,IC50,1250000.0,nM,COc1ccc(C=C(C#N)C#N)cc1
CHEMBL77456,CHEMBL676064,,400.0,uM,Ki,400000.0,nM,COc1ccc(C=C(C#N)C#N)cc1
CHEMBL66570,CHEMBL674637,,0.013,uM,IC50,13.0,nM,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1
CHEMBL66570,CHEMBL621151,,0.2,uM,IC50,200.0,nM,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1
CHEMBL66570,CHEMBL615325,,7.5,uM,IC50,7500.0,nM,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1
CHEMBL308048,CHEMBL674643,,800.0,uM,IC50,800000.0,nM,N#C/C(=C\c1ccc(O)cc1)C(N)=O
CHEMBL311119,CHEMBL674643,,60.0,uM,IC50,60000.0,nM,N#CC(C#N)=Cc1ccc(C=O)cc1
CHEMBL311119,CHEMBL675636,,20.0,uM,Ki,20000.0,nM,N#CC(C#N)=Cc1ccc(C=O)cc1
CHEMBL76905,CHEMBL674643,,37.0,uM,IC50,37000.0,nM,N#CC(C#N)=Cc1cc(O)cc(O)c1
CHEMBL76905,CHEMBL675636,,10.0,uM,Ki,10000.0,nM,N#CC(C#N)=Cc1cc(O)cc(O)c1
CHEMBL77524,CHEMBL674643,,833.0,uM,IC50,833000.0,nM,COc1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL77524,CHEMBL675636,,2500.0,uM,Ki,2500000.0,nM,COc1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL305194,CHEMBL674637,,0.029,uM,IC50,29.0,nM,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL305194,CHEMBL621151,,5.0,uM,IC50,5000.0,nM,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL305194,CHEMBL615325,,50.0,uM,IC50,50000.0,nM,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL307250,CHEMBL674643,,325.0,uM,IC50,325000.0,nM,COc1cc(/C=C(\C#N)C(=O)O)ccc1O
CHEMBL307250,CHEMBL675636,,800.0,uM,Ki,800000.0,nM,COc1cc(/C=C(\C#N)C(=O)O)ccc1O
CHEMBL80155,CHEMBL674643,,6.0,uM,IC50,6000.0,nM,COc1cc(C=C(C#N)C#N)cc(O)c1O
CHEMBL80155,CHEMBL675636,,2.2,uM,Ki,2200.0,nM,COc1cc(C=C(C#N)C#N)cc(O)c1O
CHEMBL343352,CHEMBL677833,,0.2,uM,IC50,200.0,nM,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL52765,CHEMBL677833,,0.044,uM,IC50,44.0,nM,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL77436,CHEMBL674644,,,uM,IC50,,nM,CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL77436,CHEMBL675636,,1400.0,uM,Ki,1400000.0,nM,CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL311564,CHEMBL674643,,450.0,uM,IC50,450000.0,nM,COc1ccc(C(O)=C(C#N)C#N)cc1
CHEMBL76642,CHEMBL674643,,75.0,uM,IC50,75000.0,nM,N#C/C(=C/c1cc(O)ccc1O)C(=O)O
CHEMBL76642,CHEMBL675636,,24.0,uM,Ki,24000.0,nM,N#C/C(=C/c1cc(O)ccc1O)C(=O)O
CHEMBL308645,CHEMBL674637,,0.0047,uM,IC50,4.7,nM,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL67003,CHEMBL674637,,0.0018,uM,IC50,1.8,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21
CHEMBL67003,CHEMBL621151,,0.1,uM,IC50,100.0,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21
CHEMBL67003,CHEMBL615490,,,uM,IC50,,nM,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21
CHEMBL307248,CHEMBL674643,,640.0,uM,IC50,640000.0,nM,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1
CHEMBL307248,CHEMBL675636,,240.0,uM,Ki,240000.0,nM,N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1
CHEMBL310958,CHEMBL674643,,225.0,uM,IC50,225000.0,nM,N#CC(C#N)=NNc1ccc(O)cc1
CHEMBL78005,CHEMBL674643,,350.0,uM,IC50,350000.0,nM,N#CC(C#N)=Cc1ccc2c(c1)OCO2
CHEMBL78005,CHEMBL675636,,117.0,uM,Ki,117000.0,nM,N#CC(C#N)=Cc1ccc2c(c1)OCO2
CHEMBL134312,CHEMBL677833,,0.011,uM,IC50,11.0,nM,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL77243,CHEMBL674643,,55.0,uM,IC50,55000.0,nM,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O
CHEMBL80745,CHEMBL674643,,1.2,uM,IC50,1200.0,nM,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O
CHEMBL80745,CHEMBL675637,,,uM,Ki,,nM,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O
CHEMBL77778,CHEMBL674643,,450.0,uM,IC50,450000.0,nM,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1
CHEMBL77778,CHEMBL675636,,150.0,uM,Ki,150000.0,nM,N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1
CHEMBL305246,CHEMBL674637,,0.0028,uM,IC50,2.8,nM,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL305246,CHEMBL621151,,0.1,uM,IC50,100.0,nM,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL305246,CHEMBL615325,,0.75,uM,IC50,750.0,nM,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69966,CHEMBL674637,,0.018,uM,IC50,18.0,nM,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1
CHEMBL69966,CHEMBL621151,,0.04,uM,IC50,40.0,nM,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1
CHEMBL69966,CHEMBL615325,,0.62,uM,IC50,620.0,nM,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1
CHEMBL47940,CHEMBL679674,,3.2,uM,IC50,3200.0,nM,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1
CHEMBL57712,CHEMBL674643,,1300.0,uM,IC50,1300000.0,nM,N#CC(C#N)=Cc1cc[n+]([O-])cc1
CHEMBL77869,CHEMBL674643,,200.0,uM,IC50,200000.0,nM,COc1cc(C=C(C#N)C#N)ccc1O
CHEMBL77869,CHEMBL675636,,67.0,uM,Ki,67000.0,nM,COc1cc(C=C(C#N)C#N)ccc1O
CHEMBL69358,CHEMBL674637,,0.0012,uM,IC50,1.2,nM,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL69358,CHEMBL621151,,0.2,uM,IC50,200.0,nM,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL69358,CHEMBL615325,,1.29,uM,IC50,1290.0,nM,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL137189,CHEMBL677833,,0.2,uM,IC50,200.0,nM,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1
CHEMBL137617,CHEMBL677833,,0.039,uM,IC50,39.0,nM,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL137027,CHEMBL677833,,0.482,uM,IC50,482.0,nM,CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1
CHEMBL78257,CHEMBL674643,,0.8,uM,IC50,800.0,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1
CHEMBL78257,CHEMBL675637,,,uM,Ki,,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1
CHEMBL76082,CHEMBL674643,,560.0,uM,IC50,560000.0,nM,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2
CHEMBL77595,CHEMBL674643,,850.0,uM,IC50,850000.0,nM,N#C/C(=C\c1ccccc1)C(=O)O
CHEMBL77595,CHEMBL675636,,2500.0,uM,Ki,2500000.0,nM,N#C/C(=C\c1ccccc1)C(=O)O
CHEMBL309334,CHEMBL674643,,2.5,uM,IC50,2500.0,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1
CHEMBL309334,CHEMBL675637,,,uM,Ki,,nM,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1
CHEMBL310514,CHEMBL674643,,260.0,uM,IC50,260000.0,nM,N#CC(C#N)=Cc1ccc[nH]1
CHEMBL304971,CHEMBL674637,,0.41,uM,IC50,410.0,nM,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69071,CHEMBL674637,,0.0059,uM,IC50,5.9,nM,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69071,CHEMBL615325,,2.58,uM,IC50,2580.0,nM,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL137534,CHEMBL677833,,0.038,uM,IC50,38.0,nM,CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL137788,CHEMBL677833,,0.335,uM,IC50,335.0,nM,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1
CHEMBL69709,CHEMBL674637,,20.0,uM,IC50,20000.0,nM,Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL424093,CHEMBL677833,,0.025,uM,IC50,25.0,nM,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1
CHEMBL77030,CHEMBL674643,,2.4,uM,IC50,2400.0,nM,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S
CHEMBL77030,CHEMBL675636,,0.85,uM,Ki,850.0,nM,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S
CHEMBL78150,CHEMBL674643,,460.0,uM,IC50,460000.0,nM,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O
CHEMBL78150,CHEMBL675636,,155.0,uM,Ki,155000.0,nM,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O
CHEMBL69106,CHEMBL674637,,20.0,uM,IC50,20000.0,nM,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1
